A
B,,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8,ASAM8-D02in,ASAM8-D02in,ASAM8-D04in,ASAM8-D04in,ASAM8-D08in,ASAM8-D08in,ASAM8-D20in,ASAM8-D20in,ASAM8-D40in,ASAM8-D40in
C,UTC,%-RelativeHumidity,Depth-Snow,Dir-Wind,Irrad,Precip,Speed-Wind,Temp-Air,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil
E
F,,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS
Units,,%,mm,deg,W/m2,mm,kph,C,%,C,%,C,%,C,%,C,%,C
Type,,PER-AVER,INST-VAL,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-AVER,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL
1,19Apr2024 1000,66.15,0,306.5,0,0,6.613,-6.45,13.4,1.7,25.1,6.7,28.6,8.1,32.1,8.6,11,7.6,
2,19Apr2024 1005,65.51,,314.3,0,0,7.686,-6.017,,,,,,,,,,,
3,19Apr2024 1010,66.1,,314.9,0,0,7.686,-6.117,,,,,,,,,,,
4,19Apr2024 1015,66.17,,310.7,0,0,7.927,-6,,,,,,,,,,,
5,19Apr2024 1020,66.73,,299.5,0,0,7.762,-5.817,,,,,,,,,,,
6,19Apr2024 1025,65.62,,306.8,0,0,9.299,-5.394,,,,,,,,,,,
7,19Apr2024 1030,64.01,,301.4,0,0,10.501,-4.817,,,,,,,,,,,
8,19Apr2024 1035,63.08,,306.3,0,0,8.852,-4.856,,,,,,,,,,,
9,19Apr2024 1040,64.13,,303.5,0,0,10.336,-4.994,,,,,,,,,,,
10,19Apr2024 1045,63.96,,305.1,0,0,10.166,-4.778,,,,,,,,,,,
11,19Apr2024 1050,64.21,,302.2,0,0,9.389,-4.828,,,,,,,,,,,
12,19Apr2024 1055,63.9,,300.3,0,0,9.594,-4.661,,,,,,,,,,,
13,19Apr2024 1100,63.42,0,296.9,0,0,9.853,-4.433,13.3,1.3,25.1,6.3,28.6,7.9,32.1,8.6,11,7.6,
14,19Apr2024 1105,63.76,,297.8,0,0,8.093,-4.561,,,,,,,,,,,
15,19Apr2024 1110,64.37,,310.3,0,0,7.391,-4.822,,,,,,,,,,,
16,19Apr2024 1115,65.56,,311.1,0,0,7.056,-5.089,,,,,,,,,,,
17,19Apr2024 1120,65.33,,309.7,0,0,8.021,-5.011,,,,,,,,,,,
18,19Apr2024 1125,65.73,,305.2,0,0,7.927,-5.089,,,,,,,,,,,
19,19Apr2024 1130,65.8,,301.6,0,0,8.039,-5.006,,,,,,,,,,,
20,19Apr2024 1135,65.66,,298.5,0,0,6.721,-5.022,,,,,,,,,,,
21,19Apr2024 1140,65.9,,298.3,0,0,6.39,-5.111,,,,,,,,,,,
22,19Apr2024 1145,66.31,,318.7,0,0,4.428,-5.156,,,,,,,,,,,
23,19Apr2024 1150,66.22,,337.4,0,0,3.056,-5.45,,,,,,,,,,,
24,19Apr2024 1155,68.62,,333.3,0,0,0.389,-5.939,,,,,,,,,,,
25,19Apr2024 1200,70.65,0,183,0,0,0.018,-6.267,13.4,1,25,6,28.6,7.6,32.1,8.6,11,7.6,
26,19Apr2024 1205,72.51,,0,0,0,0,-6.733,,,,,,,,,,,
27,19Apr2024 1210,72.81,,0,0,0,0,-6.733,,,,,,,,,,,
28,19Apr2024 1215,73.84,,156.5,0.55,0,0.443,-7.056,,,,,,,,,,,
29,19Apr2024 1220,76.32,,132.3,2.84,0,0.094,-7.417,,,,,,,,,,,
30,19Apr2024 1225,75.66,,122.1,5.24,0,1.073,-7.061,,,,,,,,,,,
31,19Apr2024 1230,75.16,,127.5,7.98,0,0.853,-7.006,,,,,,,,,,,
32,19Apr2024 1235,76.82,,136.4,10.29,0,1.501,-7.233,,,,,,,,,,,
33,19Apr2024 1240,77.58,,155.3,12.54,0,0.889,-7.339,,,,,,,,,,,
34,19Apr2024 1245,77.36,,144.8,14.93,0,0.443,-7.183,,,,,,,,,,,
35,19Apr2024 1250,76.81,,133.6,17.48,0,0.018,-7.078,,,,,,,,,,,
36,19Apr2024 1255,76.27,,272.2,21.74,0,0.702,-6.939,,,,,,,,,,,
37,19Apr2024 1300,75.45,0,273.7,82.9,0,2.592,-6.772,13.4,0.8,25,5.6,28.6,7.3,32.1,8.6,11,7.6,
38,19Apr2024 1305,72.42,,276.1,119.9,0,3.038,-6.111,,,,,,,,,,,
39,19Apr2024 1310,68.86,,284.6,133.5,0,3.982,-5.344,,,,,,,,,,,
40,19Apr2024 1315,70.64,,271.3,147.3,0,3.056,-5.094,,,,,,,,,,,
41,19Apr2024 1320,69.06,,259.4,161.2,0,4.687,-4.756,,,,,,,,,,,
42,19Apr2024 1325,66.93,,271,175.3,0,4.129,-4.222,,,,,,,,,,,
43,19Apr2024 1330,65.31,,281.5,189.8,0,5.224,-3.783,,,,,,,,,,,
44,19Apr2024 1335,63.86,,278.1,203.6,0,6.26,-3.6,,,,,,,,,,,
45,19Apr2024 1340,63.93,,289.9,218.5,0,6.502,-3.533,,,,,,,,,,,
46,19Apr2024 1345,63.71,,289.1,232.1,0,7.02,-3.439,,,,,,,,,,,
47,19Apr2024 1350,63.87,,286.5,247.2,0,7.074,-3.117,,,,,,,,,,,
48,19Apr2024 1355,60.57,,301.4,261.6,0,10.184,-2.811,,,,,,,,,,,
49,19Apr2024 1400,60.8,0,295.4,276.7,0,10.519,-2.689,13.4,1.1,24.9,5.3,28.5,7.1,32.2,8.5,11,7.6,
50,19Apr2024 1405,59.91,,291.6,290.8,0,14.242,-2.328,,,,,,,,,,,
51,19Apr2024 1410,58.14,,295.8,305.5,0,18.947,-2.161,,,,,,,,,,,
52,19Apr2024 1415,57.75,,290.8,320.8,0,17.222,-2.172,,,,,,,,,,,
53,19Apr2024 1420,57.65,,301.5,330.8,0,18.76,-1.95,,,,,,,,,,,
54,19Apr2024 1425,57.68,,301.8,313.3,0,20.149,-1.922,,,,,,,,,,,
55,19Apr2024 1430,57.94,,293.5,370.2,0,16.114,-1.8,,,,,,,,,,,
56,19Apr2024 1435,57.12,,288.7,394.1,0,19.595,-1.511,,,,,,,,,,,
57,19Apr2024 1440,56.87,,314.5,387.7,0,21.722,-1.311,,,,,,,,,,,
58,19Apr2024 1445,56.25,,307.2,246.2,0,22.871,-1.528,,,,,,,,,,,
59,19Apr2024 1450,56.89,,308.4,504.9,0,20.336,-1.383,,,,,,,,,,,
60,19Apr2024 1455,55.35,,319.6,442.7,0,21.038,-0.944,,,,,,,,,,,
61,19Apr2024 1500,54.79,0,311.5,461.5,0,23.8,-0.844,13.4,2.6,24.9,5.1,28.5,6.8,32.1,8.5,11,7.6,
62,19Apr2024 1505,55.23,,310.7,403.7,0,20.815,-1.094,,,,,,,,,,,
63,19Apr2024 1510,55.39,,315.9,483.8,0,21.557,-1.089,,,,,,,,,,,
64,19Apr2024 1515,55.58,,305.8,406,0,19.318,-0.978,,,,,,,,,,,
65,19Apr2024 1520,54.27,,313.3,447.2,0,20.984,-0.533,,,,,,,,,,,
66,19Apr2024 1525,54.3,,311.2,657.9,0,19.224,-0.283,,,,,,,,,,,
67,19Apr2024 1530,53.23,,319.4,512,0,20.704,-0.322,,,,,,,,,,,
68,19Apr2024 1535,53.1,,313,325.9,0,21.15,-0.278,,,,,,,,,,,
69,19Apr2024 1540,53.14,,312.2,289.7,0,20.131,-0.406,,,,,,,,,,,
70,19Apr2024 1545,52.51,,314.5,224.8,0,17.575,-0.317,,,,,,,,,,,
71,19Apr2024 1550,52.8,,308.8,279.3,0,17.111,-0.378,,,,,,,,,,,
72,19Apr2024 1555,53.38,,301.5,190.7,0,16.592,-0.472,,,,,,,,,,,
73,19Apr2024 1600,52.97,0,307.7,242.4,0,18.67,-0.517,13.4,4.9,24.9,5.1,28.5,6.7,32.1,8.5,11,7.6,

A
B,,BDVM8,BDVM8,BDVM8,BDVM8,BDVM8,BDVM8,BDVM8,BDVM8-D02in,BDVM8-D02in,BDVM8-D04in,BDVM8-D04in,BDVM8-D08in,BDVM8-D08in,BDVM8-D20in,BDVM8-D20in,BDVM8-D40in,BDVM8-D40in
C,UTC,%-RelativeHumidity,Depth-Snow,Dir-Wind,Irrad,Precip,Speed-Wind,Temp-Air,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil,%-SoilMoisture,Temp-Soil
E
F,,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS,Raw-MADIS
Units,,%,mm,deg,W/m2,mm,kph,C,%,C,%,C,%,C,%,C,%,C
Type,,PER-AVER,INST-VAL,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-AVER,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL,INST-VAL
1,19Apr2024 1000,52.34,1.27,351.1,,0,10.444,-4.061,21.5,3.8,28,5.1,32.1,6.161,32.1,6.561,33,5.939,
2,19Apr2024 1005,51.16,,355.6,,0,8.111,-3.978,,,,,,,,,,,
3,19Apr2024 1010,52.5,,354.2,,0,9.148,-4.2,,,,,,,,,,,
4,19Apr2024 1015,53.7,,356.5,,0,7.909,-4.3,,,,,,,,,,,
5,19Apr2024 1020,54.06,,350.5,,0,7.891,-4.361,,,,,,,,,,,
6,19Apr2024 1025,53.12,,354.8,,0,7.798,-4.3,,,,,,,,,,,
7,19Apr2024 1030,53.58,,357.3,,0,9.464,-4.339,,,,,,,,,,,
8,19Apr2024 1035,55.38,,358.7,,0,10.501,-4.422,,,,,,,,,,,
9,19Apr2024 1040,55.26,,357,,0,12.002,-4.5,,,,,,,,,,,
10,19Apr2024 1045,56.96,,0.83,,0,11.945,-4.639,,,,,,,,,,,
11,19Apr2024 1050,58.48,,360,,0,12.463,-4.8,,,,,,,,,,,
12,19Apr2024 1055,56.82,,0.13,,0,11.243,-4.661,,,,,,,,,,,
13,19Apr2024 1100,56.18,1.778,4.47,,0,10.184,-4.561,21.5,3.561,27.9,4.961,32.1,6.1,32.1,6.5,33,5.9,
14,19Apr2024 1105,57.36,,11.29,,0,10.112,-4.678,,,,,,,,,,,
15,19Apr2024 1110,55,,11.81,,0,10.037,-4.561,,,,,,,,,,,
16,19Apr2024 1115,55.14,,14.56,,0,10.037,-4.478,,,,,,,,,,,
17,19Apr2024 1120,57.2,,12.56,,0,9.724,-4.639,,,,,,,,,,,
18,19Apr2024 1125,54.62,,10.78,,0,7.704,-4.378,,,,,,,,,,,
19,19Apr2024 1130,56.12,,14.85,,0,9.036,-4.522,,,,,,,,,,,
20,19Apr2024 1135,55.92,,8.73,,0,9.223,-4.5,,,,,,,,,,,
21,19Apr2024 1140,58.02,,4.92,,0,7.592,-4.639,,,,,,,,,,,
22,19Apr2024 1145,55.44,,7.6,,0,10.444,-4.622,,,,,,,,,,,
23,19Apr2024 1150,52.84,,348.9,,0,10.112,-4.361,,,,,,,,,,,
24,19Apr2024 1155,58.18,,285.2,,0,5.314,-4.961,,,,,,,,,,,
25,19Apr2024 1200,59.52,2.032,302.3,,0,4.428,-5.422,21.5,3.3,27.9,4.739,32,6.039,32.1,6.5,33,5.939,
26,19Apr2024 1205,59.1,,297.1,,0,3.798,-5.439,,,,,,,,,,,
27,19Apr2024 1210,59.38,,305.2,,0,1.685,-5.539,,,,,,,,,,,
28,19Apr2024 1215,59.92,,288,,0,2.851,-5.622,,,,,,,,,,,
29,19Apr2024 1220,60.92,,253.3,0.31,0,1.778,-5.722,,,,,,,,,,,
30,19Apr2024 1225,59.62,,259.3,2.74,0,2.779,-5.839,,,,,,,,,,,
31,19Apr2024 1230,59.46,,269.1,7.28,0,2.65,-5.8,,,,,,,,,,,
32,19Apr2024 1235,60.76,,301.5,27.07,0,3.222,-5.622,,,,,,,,,,,
33,19Apr2024 1240,58.7,,312.5,37.64,0,3.575,-5.122,,,,,,,,,,,
34,19Apr2024 1245,60.04,,330.9,21.68,0,2.999,-4.839,,,,,,,,,,,
35,19Apr2024 1250,62.78,,333.8,35.1,0,3.445,-4.661,,,,,,,,,,,
36,19Apr2024 1255,62.02,,319.1,29.73,0,2.815,-4.539,,,,,,,,,,,
37,19Apr2024 1300,61.34,1.778,318.1,58.76,0,3.24,-4.422,21.5,3.161,27.9,4.6,32.1,6,32.1,6.4,33,5.939,
38,19Apr2024 1305,61.54,,342.8,39.14,0,0.832,-4.322,,,,,,,,,,,
39,19Apr2024 1310,58.64,,332.3,48.78,0,0.796,-4.3,,,,,,,,,,,
40,19Apr2024 1315,58.5,,283.4,59.41,0,0.554,-4.278,,,,,,,,,,,
41,19Apr2024 1320,58.94,,133.6,61.22,0,2.239,-4.139,,,,,,,,,,,
42,19Apr2024 1325,61.88,,281.3,61.51,0,3.964,-4.1,,,,,,,,,,,
43,19Apr2024 1330,59.72,,133.9,68.9,0,4.187,-4.261,,,,,,,,,,,
44,19Apr2024 1335,63.22,,202.2,78.48,0,7.092,-4.3,,,,,,,,,,,
45,19Apr2024 1340,62.54,,224.4,69.35,0,6.037,-4.4,,,,,,,,,,,
46,19Apr2024 1345,61.5,,249.4,74.52,0,4.352,-4.5,,,,,,,,,,,
47,19Apr2024 1350,64.96,,247.1,84.7,0,5.13,-4.561,,,,,,,,,,,
48,19Apr2024 1355,64.28,,233.1,92.4,0,4.982,-4.7,,,,,,,,,,,
49,19Apr2024 1400,64.88,1.778,250.4,104.8,0,4.406,-4.7,21.3,3,27.9,4.461,32.1,6,32.1,6.4,33,5.961,
50,19Apr2024 1405,62.28,,228.1,122.6,0,2.002,-4.7,,,,,,,,,,,
51,19Apr2024 1410,60.66,,196.1,141.7,0,0.443,-4.522,,,,,,,,,,,
52,19Apr2024 1415,61.2,,225.2,163.8,0,3.798,-4.322,,,,,,,,,,,
53,19Apr2024 1420,61.74,,260.2,231.9,0,2.815,-4.278,,,,,,,,,,,
54,19Apr2024 1425,61.54,,324.1,179.2,0,4.666,-4.122,,,,,,,,,,,
55,19Apr2024 1430,58.34,,315.7,175.9,0,12.262,-3.9,,,,,,,,,,,
